institution,school_type,state,testing_info_link,rtc_model,last_updated,testing,testing_type,test_initial,test_recurring,test_freq,test_vendor,test_pool,endowment,enrollment,endowment_per_fte_enrollment
University of Chicago,Private,IL,https://president.uchicago.edu/page/autumn-quarter-2020-plans,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,TRUE,TRUE,,,,7009011789,17002,431935
University of Cincinnati,Public,OH,https://www.uc.edu/publichealth/return-to-campus-guide/stay-safe.html#testing-tracing,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of Colorado at Boulder,Public,CO,https://www.colorado.edu/coronavirus,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,TRUE,TRUE,,,TRUE,#N/A,#N/A,#N/A
University of Colorado at Denver,Public,CO,https://www1.ucdenver.edu/coronavirus/updates/fall-2020-cu-denvers-plan-for-a-safe-return-to-campus-june-4-2020,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,,,,#N/A,#N/A,#N/A
University of Connecticut,Public,CT,https://hr.uconn.edu/employee-covid-testing/,Proposing a hybrid model,7/27/2020,TRUE,Unknown,TRUE,Unknown,,UConn Health,,423165900,27412,15508
University of Dallas,Private,TX,https://udallas.edu/coronavirus/campus-reopening/index.php,Planning for in-person,7/27/2020,TRUE,Symptomatic,TRUE,TRUE,,UD Heath Center,,76471000,2542,38351
University of Dayton,Private,OH,https://udayton.edu/studev/health_wellness/healthcenter/coronavirus/resources_index.php,Planning for in-person,7/30/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,567311000,11241,54174
University of Delaware,Public,DE,https://www.udel.edu/home/coronavirus/return/faq/#health-safety,Proposing a hybrid model,7/30/2020,TRUE,Unknown,Unknown,Unknown,,Delaware Emergency Management Agency,,1413197459,24120,61847
University of Denver,Private,CO,https://www.du.edu/news/fall-2020-living-and-learning-campus,Proposing a hybrid model,7/30/2020,Unknown,Unknown,Unknown,Unknown,,,,761952224,11952,72463
University of Detroit Mercy,Private,MI,https://www.udmercy.edu/coronavirus/health.php,Proposing a hybrid model,7/30/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,63252830,5111,13015
University of Evansville,Private,IN,https://www.evansville.edu/coronavirus/faq.cfm#precautions-returntesting,Planning for in-person,7/30/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,131803819,2443,50870
University of Findlay,Private,OH,https://www.findlay.edu/oiler-start-safe-and-stay-safe/reporting-monitoring-and-identifying,Planning for in-person,7/30/2020,TRUE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
University of Florida,Public,FL,https://coronavirus.ufhealth.org/screen-test-protect/frequently-asked-questions/#mandatory,Proposing a hybrid model,7/30/2020,TRUE,Unknown,TRUE,FALSE,0,,,1727400000,52218,35239
University of Hartford,Private,CT,https://www.hartford.edu/academics/academic-calendar/fall-opening.aspx,Planning for in-person,,,,,,,,,178755000,6770,27187
University of Hawaii,Public,HI,https://www.staradvertiser.com/2020/05/04/breaking-news/university-of-hawaii-to-resume-in-person-instruction-for-fall-semester/,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
University of Hawaii at Manoa,Public,HI,https://www.hawaii.edu/news/2020/05/04/uh-preparing-safe-fall-return/,Planning for in-person,,,,,,,,,42270527,17710,2731
University of Houston,Public,TX,https://cloudapps.uh.edu/sendit/w/THVLNU3k6jqJhqMQrFvJSA/YnMQUW1VLUcjNrID5m0zPA/763892ok763J41Zk892iBU72XVwolg,Considering a range of scenarios,,,,,,,,,842482112,46324,21959
