institution,school_type,state,testing_info_link,rtc_model,last_updated,testing,testing_type,test_initial,test_recurring,test_freq,test_vendor,test_pool,endowment,enrollment,endowment_per_fte_enrollment
Doane University,Public,NE,https://www.doane.edu/news/doane-to-return-to-in-person-instruction-this-fall,Planning for in-person,,,,,,,,,112858549,1008,104499
Dominican University,Private,IL,https://www.dom.edu/covid-19-alert/home/current-students,Planning for in-person,,,,,,,,,35577238,2990,12222
Dominican University of California,Private,CA,https://www.dominican.edu/covid19,Planning for in-person,,,,,,,,,36247440,1779,22102
Donnelly College,Private,KS,https://www.donnelly.edu/news-events/news/1682029/donnelly-students-to-return-to-campus-fall-2020,Planning for in-person,,,,,,,,,6393438,364,20426
Dordt University,Private,IA,https://www.dordt.edu/news/52732,Planning for in-person,,,,,,,,,44133818,1564,29403
Drake University,Private,IA,https://www.drake.edu/coronavirus/faq/admission/,Proposing a hybrid model,,,,,,,,,219494332,4869,53211
Drew University,Private,NJ,http://www.drew.edu/1/emergency-information/coronavirus-disease-2019-covid-19/#faq-fall,Considering a range of scenarios,,,,,,,,,91632000,2263,44075
Drexel University,Private,PA,https://drexel.edu/now/archive/2020/June/Readying-campus-for-fall-return/,Proposing a hybrid model,,,,,,,,,779762000,24634,35651
Drury University,Private,MO,http://www.drury.edu/panther-plan,Planning for in-person,,,,,,,,,97040489,1730,60087
Duke University,Private,NC,https://coronavirus.duke.edu/2020/05/update-for-students-and-families-from-president-price-on-fall-2020/,Proposing a hybrid model,7/22/2020,TRUE,,TRUE,FALSE,0,,,8524846000,16606,504459
Duquesne University,Private,PA,https://covid19.duq.edu/news-and-updates/important-update-about-fall-2020,Proposing a hybrid model,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,370371000,9274,39629
Earlham College,Private,IN,https://earlham.edu/coronavirus/faq/#return,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,429201775,1104,365589
East Carolina University,Public,NC,https://returnofpiratenation.ecu.edu/faqs/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,200769617,28718,7433
East Tennessee State University,Public,TN,https://www.etsu.edu/coronavirus/facstaff/,Planning for in-person,7/28/2020,TRUE,Both asymptomatic and symptomatic,FALSE,FALSE,0,,,122862162,14317,9479
Eastern Connecticut State University,Public,CT,https://www.easternct.edu/reopening/index.html,Proposing a hybrid model,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,15817038,5208,3333
Eastern Florida State College,Public,FL,https://www.easternflorida.edu/documents/efsc-covid-19-operations-plan.pdf,Proposing a hybrid model,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,11359058,15820,1048
Eastern Illinois University,Public,IL,https://www.eiu.edu/covid/emails.php,Planning for in-person,7/28/2020,TRUE,Symptomatic,FALSE,FALSE,0,arah Bush Lincoln Medical System,,56512129,7526,9683
Eastern Michigan University,Public,MI,https://www.emich.edu/president/communications/campus-messages/2020-05-07.php,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,76284216,19123,4728
Eastern Nazarene College,Private,MA,https://enc.edu/fall-2020-reopening/,Planning for in-person,7/28/2020,Unknown,Unknown,Unknown,Unknown,,,,19548765,848,26100
Eastern New Mexico University,Public,NM,https://www.enmu.edu/covid-19-health-advisory/return-to-campus-plan,Proposing a hybrid model,7/28/2020,TRUE,Unknown,Unknown,Unknown,,La Casa Health Services,,#N/A,#N/A,#N/A
Eastern University,Private,PA,https://www.eastern.edu/news/fall-2020,Planning for in-person,7/28/2020,Unknown,Unknown,TRUE,Unknown,,,,30671842,3256,10004
Eastern Washington University,Public,WA,https://www.ewu.edu/stories/online-first-maximum-flexibility-instruction-model-for-fall-2020/,Planning for online,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,32030368,12633,2703
Eastern Wyoming College,Public,WY,https://ewc.wy.edu/documents/2020/07/recover-respond-and-restart-2020-report.pdf/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,5726106,1462,6574
Eckerd College,Private,FL,https://www.eckerd.edu/coronavirus/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,58313106,2006,26972
Edinboro University,Public,PA,https://www.edinboro.edu/directory/offices-services/ehs/ready/fall-2020/fall-2020-planning.html,Planning for in-person,7/28/2020,TRUE,Symptomatic,FALSE,FALSE,,Local health authorities,,#N/A,#N/A,#N/A
Elmhurst College,Private,IL,https://www.elmhurst.edu/covid-19-updates/covid-19-faqs/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,109076598,3426,31120
Elmira College,Private,NY,https://www.elmira.edu/cms_assets/pdfs/Soaring_Forward/Reopening_Guidelines_2020-07-17.pdf,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,41129256,892,41129
Elon University,Private,NC,https://www.elon.edu/u/coronavirus/,Planning for in-person,7/28/2020,TRUE,Unknown,TRUE,TRUE,1,LabCorp,,255975435,6991,40115
Embry-Riddle Aeronautical University,Private,AZ,https://erau.edu/-/media/files/university/pathforward-final-board20.pdf,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,#N/A,#N/A,#N/A
Embry-Riddle Aeronautical University,Private,FL,https://news.erau.edu/headlines/embry-riddle-aeronautical-university-to-resume-face-to-face-instruction-on-june-30,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,#N/A,#N/A,#N/A
Emerson College,Private,MA,https://www.emerson.edu/covid-19/faq#public_health_response_testing,Proposing a hybrid model,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,171634132,4573,36674
Emmanuel College Boston,Private,MA,https://www.emmanuel.edu/forward/students-and-families/faqs.html,Proposing a hybrid model,7/28/2020,TRUE,Unknown,TRUE,Unknown,,Broad Institute,,#N/A,#N/A,#N/A
Emory & Henry College,Private,VA,https://www.ehc.edu/live/files/397-202001sr01-ehc-college-reopening-plan-v11pdf,Planning for in-person,7/28/2020,TRUE,Symptomatic,FALSE,FALSE,,BalladHealth system,,89616800,1246,74371
Emory University,Private,GA,https://emorywheel.com/emory-reverses-course-on-fall-plan-significantly-reduces-campus-capacity/,"All classes online, but many students will live on campus",7/27/2020,TRUE,Symptomatic,TRUE,Unknown,,"Peachtree Immediate Care, w/ Quidel's Sofia 2 technology",Unknown,7985467382,14458,531797
Emporia State University,Public,KS,https://www.emporia.edu/covid-19-information/esu-fall-2020-return-campus/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,77134182,5796,15713
Eureka College,Private,IL,https://www.eureka.edu/blog/article/2020/05/eureka-college-plans-for-fall-reopening-with-new-normal,Planning for in-person,7/28/2020,Unknown,Unknown,Unknown,Unknown,,,,22683523,567,39110
Evangel University,Private,MO,https://www.evangel.edu/coronavirus/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,19392589,2098,10376
Evergreen State College,Public,WA,https://www.evergreen.edu/news/post/getting-ready-fall-2020,Proposing a hybrid model,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,#N/A,#N/A,#N/A
Evergreen Valley College,Public,CA,https://www.evc.edu/current-students,Planning for online,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,,9598,
Fairfield University,Private,CT,https://www.fairfield.edu/undergraduate/student-life-and-services/health-and-wellness/health-center/emergencies/coronavirus/,Planning for in-person,7/29/2020,TRUE,Unknown,TRUE,TRUE,,,,331859000,5273,73550
Fairleigh Dickinson University,Private,NJ,https://www.fdu.edu/news/fairleigh-dickinson-university-announces-fall-2020-operations-on-nj-campuses/,Proposing a hybrid model,7/28/2020,TRUE,Symptomatic,FALSE,Unknown,,,Unknown,#N/A,#N/A,#N/A
Fairmont State University,Public,WV,https://www.fairmontstate.edu/news/academics-front-page/fairmont-state-releases-updated-academic-calendar-begins-classes-aug-10,Planning for in-person,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,29331492,3947,8421
Faith Baptist Bible College,Private,IA,https://faith.edu/faith-news/dr-tillotson-gives-presidential-update/,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
Ferris State University,Public,MI,https://www.ferris.edu/coronavirus,Planning for in-person,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,78749337,13250,7154
Ferrum College,Private,VA,https://www.ferrum.edu/blog/coronavirus/,Planning for in-person,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,52977771,1124,49236
Finlandia University,Private,MI,https://www.finlandia.edu/wp-content/uploads/2020/05/May-1-2020-Weekly-Presidents-Message-.pdff,Planning for in-person,,,,,,,,,7958061,456,22167
Fisher College,Private,MA,https://www.fisher.edu/about/updates-on-the-coronavirus,Waiting to decide,7/29/2020,,,,,,,,,1662,
Florida Agricultural and Mechanical University,Public,FL,http://www.famu.edu/coronavirus/Reopening%20Plan%20Version%205.27%20final(1,Proposing a hybrid model,7/29/2020,TRUE,Unknown,FALSE,TRUE,0.25,"Bond Community Health Center, the Florida Department of Health,",,87517056,10021,9111
Florida Atlantic University,Public,FL,http://www.fau.edu/coronavirus/documents/fau-fall-2020-semester-plan.pdf,Proposing a hybrid model,7/29/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,299299650,29772,11775
Florida Institute of Technology,Private,FL,https://www.fit.edu/coronavirus/questions-and-answers/qa-for-students-and-families/,Planning for in-person,7/29/2020,TRUE,Symptomatic,FALSE,FALSE,0,,,79818147,6271,14781
Florida International University,Public,FL,https://www.fiu.edu/coronavirus/,Proposing a hybrid model,7/29/2020,TRUE,Unknown,FALSE,FALSE,0,"Miami-Dade County, the Florida Department of Health",,251336606,57942,5301
Florida Southern College,Private,FL,https://www.flsouthern.edu/news/recent/2020/general/coronavirus-updates-and-frequently-asked-questions.aspx,Planning for in-person,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,94687679,3154,30823
Florida State University,Public,FL,https://news.fsu.edu/coronavirus/faq/#life,Proposing a hybrid model,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,681369753,41005,17073
Fontbonne University,Private,MO,https://www.fontbonne.edu/wp-content/uploads/2020/07/Griffin_Return.pdf,Proposing a hybrid model,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,14669491,1290,12296
Foothill College,Public,CA,https://www.foothill.edu/virtualcampus/,Planning for online,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,9986395,14732,1015
Fordham University,Private,NY,https://www.fordham.edu/info/29768/fall_2020,Planning for in-person,7/29/2020,TRUE,Unknown,TRUE,TRUE,,Broad Institute,,729179000,16515,45785
Fort Hays State University,Public,KS,https://www.fhsu.edu/covid-19-response/faqs/general-health-safety-faq,Proposing a hybrid model,7/29/2020,TRUE,Symptomatic,FALSE,FALSE,0,Student Health Services,,98293840,15523,9744
Fort Lewis College,Public,CO,https://www.fortlewis.edu/life-at-flc/gear-up-flc/gear-up-flc-home,Planning for in-person,7/29/2020,TRUE,Symptomatic,FALSE,Unknown,,,,10525205,3319,3551
Francis Marion University,Public,SC,https://www.fmarion.edu/wp-content/uploads/2016/07/Re-Opening-edit.pdf,Planning for in-person,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,28698386,3940,8623
Franciscan University of Steubenville,Private,OH,https://franciscan.edu/returning-to-campus-in-fall-2020/,Planning for in-person,7/29/2020,Unknown,Unknown,Unknown,Unknown,,,,61438797,3028,23767
Franklin and Marshall College,Private,PA,https://www.fandm.edu/fall-2020-reopening-plan,Proposing a hybrid model,7/29/2020,TRUE,Symptomatic,TRUE,FALSE,0,Student Health Services,,386590960,2309,152501
Franklin College,Private,IN,https://franklincollege.edu/president-prather-shares-steps-toward-opening-campus-for-fall-semester/,Planning for in-person,7/29/2020,TRUE,Both asymptomatic and symptomatic,Unknown,Unknown,,Johnson Memorial Health,,87618795,982,82426
Franklin Pierce University,Private,NH,https://www.franklinpierce.edu/about/news/2020_open_for_fall_term.htm,Planning for in-person,7/29/2020,TRUE,Unknown,TRUE,Unknown,,,,13146316,2178,5932
Franklin W. Olin College of Engineering,Private,MA,http://www.olin.edu/olin-ahead/updates-messages/,Proposing a hybrid model,7/29/2020,TRUE,Unknown,FALSE,TRUE,2,Broad Institute,,#N/A,#N/A,#N/A
Fresno Pacific University,Private,CA,https://www.fresno.edu/coronavirus-covid-19-news-and-information,Planning for online,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,16110908,4292,4556
Fuller Theological Seminary,Private,CA,https://www.fuller.edu/posts/covid-19-coronavirus/,Planning for online,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,185985000,2361,99938
Fullerton College,Public,CA,https://coronavirus.fullcoll.edu/2020/05/08/campus-update-for-students-may-8-distance-education-continues-through-the-fall/,Planning for online,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,,22644,
Furman University,Private,SC,https://news.furman.edu/2020/06/09/furmans-fall-semester-to-begin-aug-18/,Planning for in-person,7/29/2020,TRUE,Symptomatic,FALSE,Unknown,,Prisma,,702854866,2947,241614
Gallaudet University,Private,DC,https://coronavirus.gallaudet.edu/our-path-forward/,Planning for online,7/29/2020,Unknown,Unknown,Unknown,Unknown,,,,183167962,1557,126585
Gannon University,Private,PA,https://update.gannon.edu/Documents/GannonUniversity-MonitoringWellness.pdf,Planning for in-person,7/29/2020,TRUE,Both asymptomatic and symptomatic,FALSE,FALSE,0,Gannon Health Center,,63421000,4291,16716
Gardner-Webb University,Private,NC,https://gardner-webb.edu/offices-and-departments/departments/university-police/emergency-information/health-advisories/coronavirus/community-update-5-1-20/index,Planning for in-person,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,65927130,3598,20180
Gavilan College,Public,CA,https://www.gavilan.edu/news/COVID19_2020/Covid19.php,Planning for online,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,,5649,
Genesee Community College,Public,NY,https://www.genesee.edu/cms/home/emergency-notices/coronavirus-covid-19-gcc-response-information/suny-gcc-reopening-plan/,Proposing a hybrid model,7/29/2020,Unknown,Unknown,FALSE,FALSE,0,,,5097227,5530,1505
Geneva College,Private,PA,geneva.edu/emergency/coronavirus/covid-19faq,Planning for in-person,7/29/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,42067457,1543,26642
George Fox University,Private,OR,https://www.georgefox.edu/covid19/students/index.html#mass-testing-faq,Planning for in-person,7/29/2020,Unknown,Unknown,FALSE,FALSE,0,,,23639880,3941,6062
George Mason University,Public,VA,http://www2.gmu.edu/sites/core/files/SCHEV_GEORGE%20MASON%20UNIVERSITY%20SAFE%20RETURN%20TO%20CAMPUS%20PLAN.pdf,Planning for in-person,7/29/2020,TRUE,Symptomatic,FALSE,Unknown,,,,84946434,37316,2818
George Washington University,Private,DC,https://campusadvisories.gwu.edu/fall-planning,Planning for online,7/29/2020,TRUE,Unknown,TRUE,TRUE,,In house lab,,1798810000,28172,76163
Georgetown University,Private,DC,https://m.box.com/shared_item/https%3A%2F%2Fgeorgetown.app.box.com%2Fs%2Ff390hofa49c66xwsblml13od61acjf9r,Proposing a hybrid model,8/2/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,,,,1769557000,19204,107611
Gettysburg College,Private,PA,https://www.gettysburg.edu/opening/messages/20200622-fall-semester,Proposing a hybrid model,,,,,,,,,331220428,2441,126662
Glendale Community College,Public,CA,https://www.glendale.edu/students/student-services/health-center/what-you-need-to-know,Proposing a hybrid model,,,,,,,,,13111647,13892,1107
Gogebic Community College,Public,MI,https://gogebic.edu/news/GCC%20plans%20to%20be%20open%20for%20Fall%202020.html,Planning for in-person,,,,,,,,,4458688,996,5844
Gonzaga University,Private,WA,https://www.gonzaga.edu/about/offices-services/emergency-preparedness/zagready/hazard-specific-resources/coronavirus/announcements-messages/fall-2020-announcement-to-students-families?fbclid=IwAR1k8N-j7TO7kCEKtb_uBekCTS_5l3heBmfzh4N3M94l91u4G0Ki9LeUiOM,Planning for in-person,,,,,,,,,286850000,7563,38565
Goshen College,Private,IN,https://www.goshen.edu/news/2020/05/29/leadership-lays-out-fall-reopening-plans/,Planning for in-person,,,,,,,,,112179098,927,126470
Goucher College,Private,MD,https://www.bizjournals.com/baltimore/news/2020/05/18/greater-baltimore-colleges-will-reopen-campuses.html,Planning for in-person,,,,,,,,,214921000,2267,112406
Grace College,Private,IN,https://www.grace.edu/grace-college-announces-intention-to-reopen-campus-in-the-fall/,Planning for in-person,,,,,,,,TRUE,#N/A,#N/A,#N/A
Graceland University,Private,IA,https://www.graceland.edu/covid-19,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
Graceland University,Private,MO,https://www.graceland.edu/covid-19,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
Grand Rapids Community College,Public,MI,https://www.mlive.com/news/ann-arbor/2020/05/michigan-community-colleges-look-ahead-to-fall-enrollment-consider-hybrid-course-strategies.html,Proposing a hybrid model,,,,,,,,,31193800,13788,3479
Grand Valley State University,Public,MI,http://www.gvsu.edu/lakerstogether,Proposing a hybrid model,,,,,,,,,127801030,24677,5676
Gratz College,Private,PA,https://www.gratz.edu,Planning for online,,,,,,,,,5347641,332,21305
Great Basin College,Public,NV,https://nshe.nevada.edu/2020/05/chancellor-thom-reillys-statement-on-reopening-in-the-summer-and-fall-semesters/,Proposing a hybrid model,,,,,,,,,680000,3451,353
Grinnell College,Private,IA,https://www.grinnell.edu/messages/AY2021-planning-update,Proposing a hybrid model,,,,,,,,,1991605000,1716,1186892
Grove City College,Private,PA,http://www.gcc.edu/Home/News-Archive/News-Article/college-prepares-for-return-to-classes-on-august-24,Planning for in-person,,,,,,,,,128200650,2338,53195
Guilford Technical Community College,Public,NC,https://greensboro.com/news/education/for-the-fall-semester-gtcc-plans-a-mix-of-in-person-and-online-instruction/article_7da09dcc-9274-5d0d-abeb-9d49d8a365ae.html,Planning for in-person,,,,,,,,,3727625,10520,441
Guiliford College,Private,NC,https://www.guilford.edu/news/2020/06/guilford-college-announces-reopening-plan-fall-2020,Planning for in-person,,,,,,,,,#N/A,#N/A,#N/A
Gulf Coast State College,Public,FL,https://www.gulfcoast.edu,Planning for in-person,,,,,,,,,33421434,5644,9425
Gustavus Adolphus College,Private,MN,https://gustavus.edu/healthservice/coronavirus/?utm_source=promolink&amp;utm_medium=web&amp;utm_campaign=covid19,Proposing a hybrid model,,,,,,,,,183693425,2241,83119
Gwynedd-Mercy University,Private,PA,https://www.gmercyu.edu/covid-19,Proposing a hybrid model,,,,,,,,,#N/A,#N/A,#N/A
Hamilton College,Private,NY,https://www.hamilton.edu/offices/healthcenter/coronavirus/updates/p/revised-academic-calendar-for-fall-2020/view,Proposing a hybrid model,,,,,,,,,1012841000,2005,545124
Hampden-Sydney College,Private,VA,http://www.hsc.edu/news-index/fall-semester-resumes,Planning for in-person,,,,,,,,,170668251,1072,163163
Hampshire College,Private,MA,https://www.hampshire.edu/health-services/2020/02/04/updates-on-covid-19-novel-coronavirus?fbclid=IwAR2RWKOVwZeiC0Hxw-RDAEduPFqQO-j1tzhCniVnPpjn2iHAp1H9IVdP9bM,Proposing a hybrid model,,,,,,,,,58355650,1191,47598
Hampton University,Private,VA,http://news.hamptonu.edu/release/President%27s-Letter-to-the-HU-Community-07%7C01%7C2020,Planning for online,,,,,,,,,285344772,4321,60480
Hanover College,Private,IN,https://www.hanover.edu/about/news?article=8708,Planning for in-person,,,,,,,,,143606741,1104,129609
Harding University,Private,AR,https://harding.edu/public-safety/emergency-management/coronavirus-notifications/may-8-update,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,142705175,5121,27677
Harford Community College,Public,MD,http://harford.edu/about/news/2020/coronavirus.aspx,Planning for online,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,7760413,5865,2118
Harper College,Public,IL,https://www.harpercollege.edu/advisory/index.php,Proposing a hybrid model,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,#N/A,#N/A,#N/A
Hartnell College,Public,CA,https://www.hartnell.edu/students/admissions/registration/index.html,Planning for online,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,7390322,12521,1244
Harvard University,Private,MA,https://www.fas.harvard.edu/fas-decision-2020-2021-academic-year,Planning for online,7/22/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,2.3,Broad Institute,FALSE,39233736000,31566,1422130
Harvey Mudd College,Private,CA,https://www.hmc.edu/coronavirus-information/2020/07/01/hmc-announces-plans-for-fall-2020/,Proposing a hybrid model,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,,Student Health Services of The Claremont Colleges Services,FALSE,316815347,902,365416
Hastings College,Private,NE,https://www.hastings.edu/news/hastings-college-coronavirus-information/,Planning for in-person,7/27/2020,TRUE,Unknown,FALSE,FALSE,0,,,100284262,1080,83850
Haverford College,Private,PA,https://www.brynmawr.edu/news/presidents-bryn-mawr-and-haverford-announce-plan-fall-semester,Planning for in-person,7/27/2020,TRUE,Unknown,TRUE,Unknown,,,,518884972,1310,377646
Hawaii Pacific University,Private,HI,https://www.hpu.edu/about-us/news-and-events/news/2020/05/student-message-coronavirus.html,Planning for in-person,7/27/2020,Unknown,Unknown,Unknown,FALSE,,,,44644947,4086,14425
Heidelberg University,Private,OH,https://www.heidelberg.edu/about/news/2020/heidelberg-announces-plans-to-reopen-this-fall,Planning for in-person,7/27/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,52245539,1219,42338
Hendrix College,Private,AR,https://www.hendrix.edu/coronavirus/,Planning for in-person,7/27/2020,TRUE,Symptomatic,FALSE,FALSE,,Conway Regional Health,Unknown,206383801,1208,156589
High Point University,Private,NC,http://www.highpoint.edu/studenthealth/coronavirus/,Planning for in-person,7/28/2020,TRUE,Symptomatic,FALSE,FALSE,,,,63760429,5137,12124
Highline College,Public,WA,https://www.highline.edu/covid19/#updatess,Proposing a hybrid model,7/28/2020,TRUE,Symptomatic,FALSE,FALSE,,Novant,FALSE,,6530,
Hilbert College,Private,NY,https://www.hilbert.edu/about/coronavirus-update,Planning for in-person,7/28/2020,FALSE,No voluntary testing,TRUE,FALSE,,Inspired Health Group,,7444295,764,9581
Hillsdale College,Private,MI,https://www.hillsdale.edu/campus-life/student-support/covid-19/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,668451311,1521,446826
Hinds Community College,Public,MS,https://www.hindscc.edu/covid/campus-plan,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,47925,12521,5
Hiram College,Private,OH,https://www.hiram.edu/campus-life/resources/health-counseling-and-disability-services/health-center/coronavirus/june-12-2020-guide-for-returning-to-the-workplace/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,74259063,1255,75390
Hobart and WIlliam Smith Colleges,Private,NY,https://www2.hws.edu/opening/testing-health-and-safety/,Planning for in-person,7/28/2020,Unknown,Unknown,TRUE,TRUE,,Broad Institute,,#N/A,#N/A,#N/A
Hodges University,Private,FL,https://hodges.edu/coronavirus-information/,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,,,,2826636,1051,2535
Hofstra University,Private,NY,https://www.hofstra.edu/safe-start/testing-tracing.html,Planning for in-person,7/28/2020,TRUE,Both asymptomatic and symptomatic,TRUE,TRUE,,Northwell Health,,611432662,10871,56989
Hollins University,Private,VA,https://www.hollins.edu/coronavirus-preparedness/carefully-onward/,Planning for in-person,7/28/2020,TRUE,Symptomatic,FALSE,FALSE,,Carilion Clinic,,186334766,805,207039
Holy Cross College,Private,IN,https://www.holycross.edu/2019-novel-coronavirus-covid-19-information/fall-2020-plans,Planning for in-person,7/28/2020,Unknown,Unknown,TRUE,TRUE,,Broad Institute,,2961465,499,5484
Holy Names University,Private,CA,https://hnu.edu/news/learning-and-community-at-hnu-this-fall/,Planning for online,7/28/2020,Unknown,Unknown,Unknown,Unknown,,,,51917540,960,67513
Hood College,Private,MD,https://www.hood.edu/student-life/health-counseling-services/covid-19,Proposing a hybrid model,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,99715827,2005,65345
Hope College,Private,MI,https://hope.edu/coronavirus/health-safety/testing.html,Planning for in-person,7/28/2020,TRUE,Symptomatic,TRUE,TRUE,,,,225656000,3149,70320
Hope International University,Private,CA,https://www.hiu.edu/about-hiu/news-and-events/news-detail.php?id=438,Planning for in-person,7/28/2020,Unknown,Unknown,Unknown,Unknown,,,,7302737,1253,6538
Houghton College,Private,NY,https://www.houghton.edu/coronavirus/,Proposing a hybrid model,7/28/2020,TRUE,Symptomatic,FALSE,FALSE,0,"Aegis Sciences Corporation, Quest Diagnostics and Wyoming County Community Hospital.",,56219658,1001,49057
Houston Baptist University,Private,TX,https://hbu.edu/huskystrong/06-02-academic-offerings-and-procedures-for-the-fall/,Proposing a hybrid model,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,102429599,3432,35284
Howard University,Private,DC,https://home.howard.edu/reopen,Proposing a hybrid model,7/28/2020,TRUE,Symptomatic,TRUE,FALSE,0,,,688562000,9139,74190
Hudson County Community College,Public,NJ,https://www.hccc.edu/templates/PBNewsDetail.aspx?id=17109,Proposing a hybrid model,7/28/2020,Unknown,Unknown,Unknown,Unknown,,,,,8408,
Hult International Business School,Private,MA,https://www.hult.edu/en/announcements/covid19-update/,Planning for in-person,7/28/2020,Unknown,Unknown,Unknown,Unknown,,,,,3065,
Huntingdon College,Private,AL,https://www.huntingdon.edu/huntingdon-announces-fall-start-date/,Planning for in-person,7/28/2020,TRUE,Symptomatic,TRUE,Unknown,,,,48500407,1081,47596
Husson University,Private,ME,https://www.husson.edu/covid-19-response,Planning for in-person,7/28/2020,TRUE,Symptomatic,TRUE,TRUE,,Broad Institute,,18551272,3761,5661
Iliff School of Theology,Private,CO,https://www.iliff.edu/covid-19/fallonline/,Planning for online,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,32216107,263,159486
Illinois College,Private,IL,https://www.ic.edu/news/05-22-2020/illinois-college-plans-students-return-campus-august,Planning for in-person,7/28/2020,TRUE,Unknown,FALSE,FALSE,0,Chesley Health and Wellness Center,,137753933,983,135585
Illinois Institute of Technology,Private,IL,https://www.iit.edu/COVID-19,Planning for in-person,,,,,,,,,248557000,6753,37032
Illinois State University,Public,IL,https://coronavirus.illinoisstate.edu/fall-2020/,Proposing a hybrid model,7/28/2020,Unknown,Unknown,Unknown,Unknown,,,,128825072,20635,6761
Immaculata University,Private,PA,https://www.immaculata.edu/news/may-15-2020-letter-from-president-lettiere//,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,19677380,2448,10472
Indiana State University,Public,IN,https://www.indstate.edu/covid-19,Planning for in-person,7/28/2020,FALSE,No voluntary testing,FALSE,FALSE,0,,,47979230,13044,4024
Indiana University,Public,IN,https://president.iu.edu/speeches/statements/2020/05-21-phased-reopening.html,Proposing a hybrid model,7/29/2020,TRUE,Symptomatic,FALSE,FALSE,0,IU Health,,#N/A,#N/A,#N/A
Indiana University of Pennsylvania,Public,PA,https://www.iup.edu/news-events/coronavirus-information/,Proposing a hybrid model,7/29/2020,TRUE,Symptomatic,FALSE,FALSE,0,IUP Health Service,,#N/A,#N/A,#N/A
Iona College,Private,NY,https://www.iona.edu/about/news-events/news/iona-college-announces-tentative-return-to-campus.aspx,Proposing a hybrid model,7/29/2020,TRUE,Symptomatic,TRUE,FALSE,0,Montefiore Hospital,,143741000,3926,40616
