NCES,District,State,Public School Enrollment,Last verified,District reopening plan,Start date,Link
0629700,Palos Verdes Peninsula Unified,CA,"11,217",8/26/20,Remote learning only,8/26/20,"<a href=""https://www.pvpusd.net/"" target=""_blank"">🔗</a>"
5101320,Fauquier Co Pblc Schs,VA,"11,186",8/24/20,Remote learning only,8/24/20,"<a href=""https://www.fcps1.org/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=2027&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=16727&PageID=1"" target=""_blank"">🔗</a>"
1812720,M S D Washington Township,IN,"11,140",7/30/20,Remote learning only,7/30/20,"<a href=""https://www.msdwt.k12.in.us/"" target=""_blank"">🔗</a>"
4213140,Lancaster Sd,PA,"11,080",8/31/20,Remote learning only,8/31/20,"<a href=""https://sdlancaster.org/"" target=""_blank"">🔗</a>"
1930510,Waukee Comm School District,IA,"10,996",8/25/20,Full in-person reopening available for all students,8/25/20,"<a href=""https://waukeeschools.org/rtl/"" target=""_blank"">🔗</a>"
2711670,Minnetonka Public School District,MN,"10,970",9/8/20,Hybrid/Partial,9/8/20,"<a href=""https://www.minnetonkaschools.org/"" target=""_blank"">🔗</a>"
3403000,Cherry Hill School District,NJ,"10,928",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.chclc.org/"" target=""_blank"">🔗</a>"
3405610,Freehold Regional High School District,NJ,"10,826",9/11/20,Remote learning only,9/10/20,"<a href=""https://www.frhsd.com/frhsd"" target=""_blank"">🔗</a>"
2723850,North St. Paul-Maplewood Oakdale,MN,"10,808",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.isd622.org/"" target=""_blank"">🔗</a>"
3620490,New Rochelle City School District,NY,"10,727",9/9/20,Remote learning only,9/9/20,"<a href=""https://www.nred.org/#gsc.tab=0"" target=""_blank"">🔗</a>"
5304920,Mead School District,WA,"10,716",9/21/20,Hybrid/Partial,9/21/20,"<a href=""https://www.mead354.org/"" target=""_blank"">🔗</a>"
2705790,Bloomington Public School District,MN,"10,641",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.bloomington.k12.mn.us/"" target=""_blank"">🔗</a>"
4700300,Blount County,TN,"10,635",7/29/20,Full in-person reopening available for all students,7/29/20,"<a href=""http://www.blountk12.org/reopening-informatiom"" target=""_blank"">🔗</a>"
2802400,Lamar County School District,MS,"10,624",8/25/20,Full in-person reopening available for all students,8/13/20,"<a href=""http://www.lamarcountyschools.org/"" target=""_blank"">🔗</a>"
2621150,Lansing Public School District,MI,"10,619",9/8/20,Remote learning only,9/8/20,"<a href=""http://www.lansingschools.net/"" target=""_blank"">🔗</a>"
4400240,Cranston,RI,"10,479",9/15/20,Hybrid/Partial,9/14/20,"<a href=""https://docs.google.com/document/d/1P9ViVzbmWIG1LQv2qpMmvuqfT9nK7AKUTVAbDZ1B-KU/edit"" target=""_blank"">🔗</a>"
1001240,Brandywine School District,DE,"10,470",8/18/20,Remote learning only,9/16/20,"<a href=""http://www.proud2b-bsd.com/"" target=""_blank"">🔗</a>"
3411220,New Brunswick School District,NJ,"10,422",9/8/20,Remote learning only,9/8/20,"<a href=""https://www.nbpschools.net/"" target=""_blank"">🔗</a>"
1601530,Idaho Falls District,ID,"10,376",8/31/20,Hybrid/Partial,8/31/20,"<a href=""https://www.d91.k12.id.us/"" target=""_blank"">🔗</a>"
3904513,Worthington City,OH,"10,342",8/31/20,Remote learning only,8/31/20,"<a href=""https://www.worthington.k12.oh.us/Page/4288"" target=""_blank"">🔗</a>"
0506120,Fayetteville School District,AR,"10,334",8/24/20,Full in-person reopening available for all students,8/24/20,"<a href=""https://district.fayar.net/o/fps/page/covid-19-updates--67"" target=""_blank"">🔗</a>"
